Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0709596656683123,4.81956513553858E-08,-0.0503432351235989,0,0,0,9.77816088748581,0.020930814423175,-5.35284502711772E-07,0.000235064343107567,0.0137800585038626,-4.08176069483386E-08,0.01930869677961,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/base_link.STL,,腰部固定件-1,IMU,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L-Roll-hip,-0.000440056918263085,0.00300962841336663,-0.00365032315961124,0,0,0,1.25950088215482,0.000944092574085447,7.56251982412122E-09,-1.64507917293614E-05,0.00144941855228616,2.51563459072212E-08,0.00228355344995682,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/L-Roll-hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/L-Roll-hip.STL,,髋Roll转动组件-1,L-Roll-hip,S-L-Roll-hip,L-Roll-hip,continuous,0,0.129999999999999,-0.0659230484541305,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
L-Yaw-hip,0.000474162130373615,0.00729927380827697,0.00442266296442168,0,0,0,4.19153817962934,0.00413164324460604,-7.31720530358945E-06,1.63374971188718E-05,0.00767666040016416,-2.79634010110133E-05,0.00416793236341396,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/L-Yaw-hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/L-Yaw-hip.STL,,髋Yaw转动组件-1,L-Yaw-hip,S-L-Yaw-hip,L-Yaw-hip,continuous,0,0,-0.116000000000001,0,0,0,L-Roll-hip,0,0,1,,,,,,,,,,,,
L-Pitch-hip,0.00395159790234563,-0.014691473877648,-0.135130816716533,0,0,0,5.1718489696474,0.0144576942014017,-4.744809677963E-05,0.000112408154103291,0.0192431691859848,0.000330009313013797,0.00578369902792809,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/L-Pitch-hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/L-Pitch-hip.STL,,大腿组件-1,L-Pitch-hip,S-L-Pitch-hip,L-Pitch-hip,continuous,0,0,0,0,0,0,L-Yaw-hip,0,-1,0,,,,,,,,,,,,
L-Pitch-Knee,0.00277642814277736,0.00372998552744819,-0.11917102161257,0,0,0,1.38541480676257,0.0103485746911302,-1.32550928432639E-05,-0.000262262018790414,0.0104036235275313,-0.000426205919604523,0.000515356035667038,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/L-Pitch-Knee.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/L-Pitch-Knee.STL,,小腿组件-1,L-Pitch-knee,S-L-pitch-knee,L-Pitch-Knee,continuous,0,0,-0.3,0,0,0,L-Pitch-hip,0,-1,0,,,,,,,,,,,,
L-Pitch-ankle,0.000283425112875352,-3.2261351479157E-08,1.74251305606887E-08,0,0,0,0.156442994447945,1.60732278307332E-05,5.67093770775118E-11,1.0309650765698E-10,1.74213870553989E-05,-4.94162399786655E-11,2.68967275953657E-05,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/L-Pitch-ankle.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/L-Pitch-ankle.STL,,踝十字轴组件-1,L-Pitch-ankle,S-L-Pitch-ankle,L-Pitch-ankle,continuous,0,0,-0.3,0,0,0,L-Pitch-Knee,0,-1,0,,,,,,,,,,,,
L-Roll-ankle,0.00355377626183499,-4.65370983276925E-06,-0.0283009622649466,0,0,0,0.725466361205851,0.000675880510700438,9.96028545012106E-08,0.000210055545319583,0.00197970841607796,-2.17999194137849E-08,0.00232922554807055,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/L-Roll-ankle.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/L-Roll-ankle.STL,,足部组件-1,L-Roll-ankle,S-L-Roll-ankle,L-Roll-ankle,continuous,0,0,0,0,0,0,L-Pitch-ankle,-1,0,0,,,,,,,,,,,,
R-Roll-hip,-0.00048111852649034,3.01800894969562E-06,-0.000886271385769775,0,0,0,1.15005776283696,0.000930331043379717,7.5625198232344E-09,-1.64507917293615E-05,0.00135107661266505,7.18771566651671E-09,0.00217334539727242,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/R-Roll-hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/R-Roll-hip.STL,,R-髋Roll转动组件-1,R-Roll-hip,S-R-Roll-hip,R-Roll-hip,continuous,0,-0.129999999999999,-0.0659230484541306,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
R-Yaw-hip,0.000462242313422484,-0.00813089433170952,0.00644395509401649,0,0,0,4.29160089646953,0.00414396543760393,7.3324928453984E-06,1.63802501728466E-05,0.00777214359699155,2.79450987802426E-05,0.00427670255573709,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/R-Yaw-hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/R-Yaw-hip.STL,,R-髋Yaw转动组件-1,R-Yaw-hip,S-R-Yaw-hip,R-Yaw-hip,continuous,0,0,-0.116,0,0,0,R-Roll-hip,0,0,1,,,,,,,,,,,,
R-Pitch-hip,0.00395154666001322,0.0146914678145732,-0.135130900894532,0,0,0,5.17185007197476,0.014457703836209,4.74525178269704E-05,0.000112369673536185,0.0192431868789716,-0.000330007631191791,0.00578371663465629,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/R-Pitch-hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://00-leg-assy-urdf-0402/meshes/R-Pitch-hip.STL,,R-大腿组件-1,R-Pitch-hip,S-R-Pitch-hip,R-Pitch-hip,continuous,0,0,0,0,0,0,R-Yaw-hip,0,1,0,,,,,,,,,,,,
