link部分,link命名,质量,质心x,质心y,质心z,惯量ixx,惯量ixy,惯量ixz,惯量iyy,惯量iyz,惯量izz,,,,,,,,
腰,base,0.523832,-0.000003,0,0.012053,0.000433,0,0,0.000433,0,0.000771,,,,,,,,
躯干,waist_yaw_link,0.530226,-0.001664,0.001612,0.08713,0.002854,-0.000002,0.000007,0.001864,0.000063,0.001481,,,,,,,,
左臂,shoulder_pitch_l_link,0.11577,-0.000303,0.040626,-0.000143,0.000048,0,0,0.000028,0,0.000049,,,,,,,,
,shoulder_roll_l_link,0.081127,-0.001998,0.000002,-0.040453,0.000073,0,-0.000003,0.000095,0,0.000047,,,,,,,,
,shoulder_yaw_l_link,0.056269,0.00623,-0.000081,-0.057357,0.000049,0,0.000009,0.000053,0,0.000019,,,,,,,,
,elbow_pitch_l_link,0.059756,-0.018216,-0.000007,-0.032379,0.000037,0,-0.000008,0.000043,0,0.000032,,,,,,,,
,elbow_yaw_l_link,0.043144,0.000021,0.000078,-0.032027,0.000017,0,0,0.000017,0,0.00001,,,,,,,,
,wrist_pitch_l_link,0.054009,0.000093,-0.00004,-0.033114,0.00004,0,0,0.000035,0,0.000018,,,,,,,,
,wrist_roll_l_link,0.066999,0.005776,-0.007502,-0.052596,0.000074,0.000001,0.000005,0.000081,-0.000009,0.000039,,,,,,,,
右臂,shoulder_pitch_r_link,0.11577,-0.000303,-0.040626,-0.000143,0.000048,0,0,0.000028,0,0.000049,,,,,,,,
,shoulder_roll_r_link,0.078102,-0.00208,0,-0.041542,0.000066,0,-0.000002,0.000085,0,0.000041,,,,,,,,
,shoulder_yaw_r_link,0.056269,0.006229,0.000081,-0.057357,0.000046,0,0.000008,0.000049,0,0.000016,,,,,,,,
,elbow_pitch_r_link,0.059758,0.059758,0.000005,-0.032379,0.000034,0,-0.000008,0.000039,0,0.000028,,,,,,,,
,elbow_yaw_r_link,0.043144,0.000021,-0.000078,-0.032027,0.000013,0,0,0.000013,0,0.000007,,,,,,,,
,wrist_pitch_r_link,0.054007,0.000092,0.00004,-0.033114,0.000037,0,0,0.00003,0,0.000016,,,,,,,,
,wrist_roll_r_link,0.066996,0.005776,0.007504,-0.052597,0.000074,-0.000001,0.000005,0.000081,0.000009,0.000039,,,,,,,,
,,,,,,,,,,,,,,,,,,,
joint部分,joint命名,类型,轴向,关节下限(度),关节上限(度),速度限制(RPM),力矩限制(牛米),,,,,,,,,,,,
腰,waist_yaw_joint,revolute,z,-360,360,,,,,,,,,,,,,,
左臂,shoulder_pitch_l_joint,revolute,y,-170,170,,,,,,,,,,,,,,
,shoulder_roll_l_joint,revolute,x,-15,150,,,,,,,,,,,,,,
,shoulder_yaw_l_joint,revolute,z,-170,170,,,,,,,,,,,,,,
,elbow_pitch_l_joint,revolute,y,-150,15,,,,,,,,,,,,,,
,elbow_yaw_l_joint,revolute,z,-170,170,,,,,,,,,,,,,,
,wrist_pitch_l_joint,revolute,y,-90,90,,,,,,,,,,,,,,
,wrist_roll_l_joint,revolute,x,-120,120,,,,,,,,,,,,,,
,left_tcp_joint,fixed,null,null,null,null,null,,,,,,,,,,,,
右臂,shoulder_pitch_r_joint,revolute,y,-170,170,,,,,,,,,,,,,,
,shoulder_roll_r_joint,revolute,x,-150,15,,,,,,,,,,,,,,
,shoulder_yaw_r_joint,revolute,z,-170,170,,,,,,,,,,,,,,
,elbow_pitch_r_joint,revolute,y,-150,15,,,,,,,,,,,,,,
,elbow_yaw_r_joint,revolute,z,-170,170,,,,,,,,,,,,,,
,wrist_pitch_r_joint,revolute,y,-90,90,,,,,,,,,,,,,,
,wrist_roll_r_joint,revolute,x,-120,120,,,,,,,,,,,,,,
,right_tcp_joint,fixed,null,null,null,null,null,,,,,,,,,,,,
