link部分,link命名,质量,质心x,质心y,质心z,惯量ixx,惯量ixy,惯量ixz,惯量iyy,惯量iyz,惯量izz,,,,,,,,
下半身,pelvis,11.528555,-0.000924,0.000347,-0.054631,0.070798,-0.00036,-0.001294,0.064805,0.000098,0.050003,,,,,,,,
左腿,hip_pitch_l_link,2.373121,0.009185,0.069598,-0.024259,0.005046,-0.000155,0.000096,0.003578,0.000158,0.003817,,,,,,,,
,hip_roll_l_link,0.539594,-0.001737,-0.000099,-0.038553,0.001041,0.000003,0.000013,0.001685,-0.000001,0.001409,,,,,,,,
,hip_yaw_l_link,5.562147,0.001492,-0.023508,-0.126309,0.041861,-0.000278,-0.000065,0.039333,-0.002505,0.013727,,,,,,,,
,knee_pitch_l_link,2.945335,0.024251,0.000717,-0.15523,0.0322,-0.000032,-0.001266,0.032444,-0.000495,0.003428,,,,,,,,
,ankle_pitch_l_link,0.142658,0,0,0,0.000023,0,0,0.000032,0,0.000049,,,,,,,,
,ankle_roll_l_link,0.888892,0.024536,-0.000017,-0.033593,0.000779,-0.000001,0.000255,0.004839,0.000001,0.005126,,,,,,,,
右腿,hip_pitch_r_link,2.373121,0.009185,-0.069598,-0.024259,0.005046,0.000155,0.000096,0.003578,-0.000158,0.003817,,,,,,,,
,hip_roll_r_link,0.539594,-0.001737,0.000099,-0.038553,0.001041,-0.000003,0.000013,0.001685,0.000001,0.001409,,,,,,,,
,hip_yaw_r_link,5.562147,0.001492,0.023508,-0.126309,0.041861,0.000278,-0.000065,0.039333,0.002505,0.013727,,,,,,,,
,knee_pitch_r_link,2.945335,0.024251,-0.000717,-0.15523,0.0322,0.000032,-0.001266,0.032444,0.000495,0.003428,,,,,,,,
,ankle_pitch_r_link,0.142658,0,0,0,0.000023,0,0,0.000032,0,0.000049,,,,,,,,
,ankle_roll_r_link,0.888892,0.024536,0.000017,-0.033593,0.000779,0.000001,0.000255,0.004839,-0.000001,0.005126,,,,,,,,
腰,waist_yaw_link,1.908803,-0.002204,-0.001068,0.038101,0.003059,-0.000067,0.000212,0.003274,0.000087,0.002192,,,,,,,,
,waist_roll_link,3.995987,-0.007616,-0.005361,0.069902,0.016265,0.000799,0.000015,0.008993,0.000092,0.016642,,,,,,,,
,waist_pitch_link,10.400612,-0.000234,0.001537,0.180095,0.164553,-0.000105,0.005502,0.128955,0.000409,0.098971,,,,,,,,
头部,head_yaw_link,0.968233,0.014806,-0.000947,0.027077,0.001922,0.000071,-0.000026,0.00169,0.000048,0.002505,,,,,,,,
,head_pitch_link,0.087922,-0.001423,0.00218,-0.000036,0.000106,0.000002,0,0.000027,0,0.000099,,,,,,,,
左臂,shoulder_pitch_l_link,0.914808,0.006861,0.060647,-0.000027,0.000763,-0.000049,-0.000001,0.000912,0,0.001164,,,,,,,,
,shoulder_roll_l_link,0.319153,-0.000672,0,-0.043313,0.000764,0,-0.000004,0.000936,0,0.000544,,,,,,,,
,shoulder_yaw_l_link,1.502215,0.009141,0.003692,-0.094058,0.007803,-0.000068,0.000939,0.007535,0.000395,0.001334,,,,,,,,
,elbow_pitch_l_link,0.531558,-0.01603,-0.000863,-0.202772,0.012063,0.000009,-0.000126,0.012055,-0.000327,0.000697,,,,,,,,
右臂,shoulder_pitch_r_link,0.914808,0.006861,-0.060647,-0.000027,0.000763,0.000049,-0.000001,0.000912,0,0.001164,,,,,,,,
,shoulder_roll_r_link,0.319153,-0.000672,0,-0.043313,0.000764,0,-0.000004,0.000936,0,0.000544,,,,,,,,
,shoulder_yaw_r_link,1.502215,0.009141,-0.003692,-0.094058,0.007803,0.000068,0.000939,0.007535,-0.000395,0.001334,,,,,,,,
,elbow_pitch_r_link,0.531558,-0.01603,0.000863,-0.202772,0.012063,-0.000009,-0.000126,0.012055,0.000327,0.000697,,,,,,,,
传感器,camera_head_link,0.1,0.010986,-0.000307,-0.016475,0.000016,0,0,0.00008,0,0.000077,,,,,,,,
,radar_head_link,0.265,-0.0002,-0.000006,-0.017365,0.000124,0,0,0.000133,0,0.000132,,,,,,,,
,camera_body_front_link,0.1,0.010986,-0.000307,-0.016475,0.000016,0,0,0.00008,0,0.000077,,,,,,,,
,imu_waist_link,0.008,0.001734,0.001046,-0.009253,0.000001,0,0,0.000001,0,0.000001,,,,,,,,
